dataset,arm,joint_correct_known_mean,joint_correct_known_std,joint_correct_known_count,novelty_ap_mean,novelty_ap_std,novelty_ap_count,full_prednovel_ami_mean,full_prednovel_ami_std,full_prednovel_ami_count,known_retention_mean,known_retention_std,known_retention_count,retained_known_accuracy_mean,retained_known_accuracy_std,retained_known_accuracy_count,novelty_auroc_mean,novelty_auroc_std,novelty_auroc_count,threshold_precision_mean,threshold_precision_std,threshold_precision_count,threshold_recall_mean,threshold_recall_std,threshold_recall_count,threshold_f1_mean,threshold_f1_std,threshold_f1_count,full_prednovel_ari_mean,full_prednovel_ari_std,full_prednovel_ari_count,full_prednovel_nmi_mean,full_prednovel_nmi_std,full_prednovel_nmi_count,lcc_yield_mean,lcc_yield_std,lcc_yield_count,assigned_cell_coverage_mean,assigned_cell_coverage_std,assigned_cell_coverage_count,lineage_U_mean,lineage_U_std,lineage_U_count
Cao,REAL_CL,0.6998003530442566,0.029306409686574705,4,0.9757576280576207,0.0014872249381275692,4,0.605662705260455,0.011218287520395413,4,0.7015965450419639,0.02912222908611656,4,0.9974302651134256,0.001398629750959417,4,0.9508656542535343,0.003763504635192811,4,0.8448889679070062,0.012019854723247878,4,0.9575610907803093,0.003994551839378722,4,0.897648591496625,0.0051807346847970405,4,0.2733044396034224,0.015031455251748534,4,0.6079526686567799,0.011265103034023007,4,0.29875,0.036852433459024815,4,0.3159686083629981,0.030576474967248933,4,0.275240738527806,0.03757748573132711,4
Cao,DEPTH_SHUFFLED_CL,0.6562684859957277,0.057653293680806954,4,0.97600758938955,0.0015498171105492733,4,0.6250876663282212,0.016672241990158473,4,0.6578154807154939,0.05726939468365051,4,0.9975980243752847,0.0012208825176353805,4,0.9514066489054328,0.003835149847966121,4,0.826632784435716,0.02404666300555124,4,0.958948176130327,0.007682842561491606,4,0.8876646090274576,0.010780834744653122,4,0.30943649398177364,0.020020786993075662,4,0.6272072341211292,0.01650404338001237,4,0.15081521739130435,0.04445793910075371,4,0.17785486869228354,0.023885766335620024,4,0.1281787889496941,0.029740814931731804,4
Cao,GENERIC_STAR,0.7249426013268546,0.018572973135979907,4,0.9791884889783361,0.001504494975164503,4,0.6050061232184494,0.009872557368075938,4,0.7270372731273292,0.01928897715352524,4,0.9971377892937047,0.0015422260657639848,4,0.9595331203831412,0.003500640138900074,4,0.8571110908534171,0.006964013549975076,4,0.9650867666155117,0.004248016828953948,4,0.9078791790983554,0.00338897947547614,4,0.2705837064891826,0.01927621671982952,4,0.6070884662083309,0.009819358266103768,4,0.0,0.0,4,0.0,0.0,4,,,0
Quake_10x,REAL_CL,0.8760559242771737,0.005573615645397692,4,0.9982341317176894,3.386732104103138e-05,4,0.7152124949441147,0.006080490421848443,4,0.8781509903557152,0.005798376698530415,4,0.9976154312430461,0.0003296866727830542,4,0.9975356217751872,4.910682223813664e-05,4,0.9149702064728837,0.003302737113627218,4,0.9975270705297044,0.000138303061933073,4,0.9544643008367213,0.0017461920914537631,4,0.34360561402915385,0.03156578408539363,4,0.7175334752453286,0.006046116053820405,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
Quake_10x,DEPTH_SHUFFLED_CL,0.8747437207808864,0.005708634782147803,4,0.9981851744773046,3.105244896060598e-05,4,0.7222774449992648,0.007820513579688906,4,0.8771660604872478,0.0058393037809013485,4,0.9972391405676642,0.00038115802163613937,4,0.9974534987549818,5.1215091694962404e-05,4,0.9142968350547219,0.0032120842617518893,4,0.9969271290605795,0.00024601541728453937,4,0.9538233558342317,0.0016843439085643343,4,0.3546307688408727,0.019130557257461458,4,0.724491336601038,0.007741870790341717,4,0.007352941176470588,0.014705882352941176,4,0.00018778838931215796,0.0003755767786243159,4,0.0,0.0,4
Quake_10x,GENERIC_STAR,0.8749799710436629,0.004228714848426238,4,0.9981671498017363,2.9150129926628874e-05,4,0.7260841775396955,0.010533338112357812,4,0.8769791702826466,0.004325304906308915,4,0.9977207545413411,0.000324450008858682,4,0.9973934488535143,5.464243854317442e-05,4,0.9141742705419409,0.002188549251166522,4,0.996985659935616,0.00030786720979529894,4,0.9537845911932641,0.0010840581364640746,4,0.36670030183681485,0.030103553974222656,4,0.7282604823007668,0.010422120234646675,4,0.0,0.0,4,0.0,0.0,4,,,0
Quake_Smart-seq2,REAL_CL,0.7652933342279507,0.004517666780719443,4,0.9783799529438576,0.0010818744474370497,4,0.8398721136998563,0.003266025891862905,4,0.7736706664845804,0.004438952591805501,4,0.9891719384587448,0.001353924489705654,4,0.9573682105265313,0.0021483214546159555,4,0.8896856603063226,0.002436002216081049,4,0.9592509492578529,0.002346832723284589,4,0.9231552985239747,0.0006649399168443585,4,0.8655071967929299,0.005090251969039536,4,0.8415230716865659,0.0032256820140946644,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
Quake_Smart-seq2,DEPTH_SHUFFLED_CL,0.7646071249582199,0.005568078778529499,4,0.9769492921052108,0.0012041203259964349,4,0.8409905705917586,0.0021949270754369208,4,0.7725583777324782,0.005667063299027828,4,0.9897091730930152,0.0016176369597496426,4,0.9543407793106119,0.0023821975803483084,4,0.8890380725388336,0.0029067891726796175,4,0.9576285812909907,0.0029008522594803536,4,0.9220534958006774,0.0010377336783076773,4,0.8657644529385278,0.005043493583904168,4,0.8426251521738658,0.002150548842378164,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
Quake_Smart-seq2,GENERIC_STAR,0.7642385805922538,0.0037989461415956992,4,0.9778531900779315,0.0010461429760666413,4,0.84204976979219,0.0017299519468339114,4,0.7725177822274625,0.003792364446485781,4,0.9892833407004857,0.0013962139956070537,4,0.9558092876850033,0.002177170552301698,4,0.8890013427082595,0.0021555310983988976,4,0.9574559889540905,0.0026357134776229217,4,0.9219556107842654,0.0007835152200899078,4,0.8675462940979576,0.0024000573286203264,4,0.843660150354653,0.0017396787165938619,4,0.0,0.0,4,0.0,0.0,4,,,0
Wagner,REAL_CL,0.6112322115339504,0.03789093502208676,4,0.9828183507691611,0.0022147307602027413,4,0.43291878992062527,0.015485595613236314,4,0.6224034902879473,0.03857945136852367,4,0.9820505350286481,0.0007920371556720321,4,0.9569321307303206,0.0038405164273013644,4,0.8671138494091156,0.011454406194604612,4,0.975865586941274,0.0030077093451688188,4,0.9182363998825417,0.005205313322769662,4,0.13760889300394014,0.01905163738648036,4,0.4341802708742704,0.015392409536507562,4,0.4409090909090909,0.046056618647183835,4,0.3659214613990606,0.0525258512792694,4,0.07649407408078865,0.008014546876445879,4
Wagner,DEPTH_SHUFFLED_CL,0.6291350164114977,0.03372592684248856,4,0.9837817618314832,0.0021267504227906234,4,0.4254716581390215,0.009741063838065243,4,0.6407488396911226,0.03398672973414659,4,0.9818531741907706,0.0009069629723281213,4,0.9584290089829346,0.00391821832509476,4,0.8725036308735001,0.010028606950084468,4,0.9737454568641204,0.003386616234401546,4,0.9203110293328709,0.004149091124804612,4,0.1331524178237723,0.008191534738339718,4,0.42676521717076527,0.009705142781079779,4,0.4199134199134199,0.0843322932414639,4,0.31624435821680585,0.08073954507065889,4,0.005169964885476275,0.0017478066390334893,4
Wagner,GENERIC_STAR,0.625904503779409,0.03236705366020237,4,0.9848883440949038,0.0021168463515004454,4,0.4331361426791983,0.014571036037545598,4,0.6361899635682957,0.033392945569693744,4,0.9838616307414183,0.0010035740539920753,4,0.9618055109415703,0.0038504987816731116,4,0.8717272400362199,0.00966335982317625,4,0.9792769240578971,0.0034506890812041674,4,0.9223413150190024,0.0039037682993401253,4,0.14027393339458574,0.013784239967013655,4,0.4343758762976856,0.014502164488546593,4,0.0,0.0,4,0.0,0.0,4,,,0
Zeisel_2018,REAL_CL,0.7307754923079501,0.005025950622679693,4,0.999803715454376,0.00014803071061411527,4,0.7161640045777491,0.013498279494322135,4,0.7331884781594683,0.0050772231747665784,4,0.9967093414071786,0.0006768869534421341,4,0.9997651766762164,0.00011968190311109361,4,0.9032567335762491,0.001427037982380869,4,0.9999828017152423,1.1465523171833642e-05,4,0.949161425885783,0.0007864827565077241,4,0.3001142368805083,0.030385490480494028,4,0.7165272374808156,0.013476574030412084,4,0.18814699792960662,0.03347358284505962,4,0.07607382748783072,0.002176193099984067,4,0.0610830014795793,0.0007119084848685005,4
Zeisel_2018,DEPTH_SHUFFLED_CL,0.6912483449876752,0.03165651974970965,4,0.9998086808592802,0.00014735615591009307,4,0.7241800990516185,0.01585555410253813,4,0.6929321089330556,0.03200612097848681,4,0.9975840313318487,0.0006309023069312051,4,0.9997467606299626,0.00012305837593068857,4,0.8903620777412637,0.009740423962165883,4,0.9999770689536563,1.8723120936689496e-05,4,0.9419703104660754,0.005462675207860408,4,0.30860222239814117,0.03417073336727397,4,0.7245284480768718,0.015837707044543067,4,0.09782608695652173,0.02173913043478261,4,0.050106996856654,0.0009644225731578962,4,0.006683698764116873,0.000293935942085888,4
Zeisel_2018,GENERIC_STAR,0.7092156751049227,0.08945292620216912,4,0.999894583872376,4.203548036745791e-05,4,0.7265119281995374,0.009670368237320204,4,0.710726871088448,0.09011456607201175,4,0.9979407801515234,0.0007126257707427948,4,0.9997871229659175,4.195535445787265e-05,4,0.8967248099839719,0.02820337660394878,4,0.9999541379073127,1.872312093667439e-05,4,0.9453542337283858,0.015762840976129275,4,0.31650914069317243,0.0330330241406411,4,0.7268681142667028,0.009650102664515263,4,0.0,0.0,4,0.0,0.0,4,,,0
