contrast,endpoint,planned,effect,ci_low,ci_high,p_exact,n_datasets,n_positive_datasets,n_negative_datasets,minimum_two_sided_p,n_pairs,complete_5x4,p_holm,relative_effect
REAL_CL-DEPTH_SHUFFLED_CL,joint_correct_known,True,0.01343092445145493,-0.007829450132087832,0.03779925764795568,0.3125,5,4,1,0.0625,20,True,1.0,0.018571507810208904
REAL_CL-DEPTH_SHUFFLED_CL,novelty_ap,True,5.225605597515837e-05,-0.0005815812125429433,0.0008090289607565192,0.875,5,2,3,0.0625,20,True,1.0,5.294720229446912e-05
REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ami,True,-0.005635466141416917,-0.01510123032072014,0.003235218471394361,0.25,5,1,4,0.0625,20,True,1.0,-0.008441362465806358
REAL_CL-DEPTH_SHUFFLED_CL,known_retention,True,0.013557860554055385,-0.008028668205744193,0.03819584972510224,0.3125,5,4,1,0.0625,20,True,,0.01861719056216276
REAL_CL-DEPTH_SHUFFLED_CL,retained_known_accuracy,True,-0.0002012064615079634,-0.0006325449331504993,0.00023190931324018534,0.5,5,2,3,0.0625,20,True,,-0.00020266632608910946
REAL_CL-DEPTH_SHUFFLED_CL,novelty_auroc,True,0.00021801947557319455,-0.0009296424110990766,0.001720596408883005,0.8125,5,3,2,0.0625,20,True,,0.00022423635235508104
REAL_CL-DEPTH_SHUFFLED_CL,threshold_precision,True,0.0054164034055083745,-0.002127152645352198,0.014636572557956133,0.3125,5,4,1,0.0625,20,True,,0.006165045326683995
REAL_CL-DEPTH_SHUFFLED_CL,threshold_recall,True,0.0005922173849418066,-0.0010004436560263744,0.001779474406386204,0.3125,5,4,1,0.0625,20,True,,0.000605882902673973
REAL_CL-DEPTH_SHUFFLED_CL,threshold_f1,True,0.003368643232866575,-0.0004858021348550652,0.008089245777380384,0.3125,5,4,1,0.0625,20,True,,0.003641128700963897
REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ari,True,-0.010289195134626606,-0.02698754602731061,0.004976608982885337,0.1875,5,1,4,0.0625,20,True,,-0.02609369633595412
REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_nmi,True,-0.005580132839981919,-0.01496762285564554,0.0032387267959852663,0.25,5,1,4,0.0625,20,True,,-0.008339466520823647
REAL_CL-DEPTH_SHUFFLED_CL,lcc_yield,True,0.05037968468019619,0.0003910427807486607,0.10832708333333332,0.25,5,3,1,0.0625,20,True,,0.37268170828903385
REAL_CL-DEPTH_SHUFFLED_CL,assigned_cell_coverage,True,0.04271397701896677,0.005118250770510481,0.09270630823818267,0.25,5,3,1,0.0625,20,True,,0.39230755725873856
REAL_CL-DEPTH_SHUFFLED_CL,lineage_U,True,0.054557072297777356,0.010883863121730872,0.10444732024521106,0.25,5,3,0,0.0625,20,True,0.5,1.9480153094903034
REAL_CL-GENERIC_STAR,joint_correct_known,True,-0.003224803291164313,-0.020756503305307965,0.021660789857520332,0.75,5,3,2,0.0625,20,True,1.0,-0.004358688893707529
REAL_CL-GENERIC_STAR,novelty_ap,True,-0.0009995955765157605,-0.002417548724050025,0.0002185455215869868,0.375,5,2,3,0.0625,20,True,1.0,-0.001011738101723227
REAL_CL-GENERIC_STAR,full_prednovel_ami,True,-0.004591606605254084,-0.01051281777369397,0.00011461983808027042,0.1875,5,1,4,0.0625,20,True,1.0,-0.006888536580193846
REAL_CL-GENERIC_STAR,known_retention,True,-0.0028881779929014195,-0.02051799308577813,0.022294523330722685,0.75,5,3,2,0.0625,20,True,,-0.0038783616947462053
REAL_CL-GENERIC_STAR,retained_known_accuracy,True,-0.0005933568354859698,-0.0013438503201277689,8.265723722291941e-05,0.3125,5,1,4,0.0625,20,True,,-0.0005974259880766277
REAL_CL-GENERIC_STAR,novelty_auroc,True,-0.002372339373471388,-0.006016236832879014,0.0006762298331796716,0.4375,5,2,3,0.0625,20,True,,-0.0024335037923016983
REAL_CL-GENERIC_STAR,threshold_precision,True,-0.0017646672904464145,-0.008766753584523291,0.006486941411729591,0.75,5,3,2,0.0625,20,True,,-0.0019922910205566412
REAL_CL-GENERIC_STAR,threshold_recall,True,-0.0017143956492090163,-0.0049452211266903376,0.0009342881236013608,0.5,5,3,2,0.0625,20,True,,-0.0017498263153085834
REAL_CL-GENERIC_STAR,threshold_f1,True,-0.0017297826395254235,-0.006882798858773889,0.003605250015826005,0.6875,5,3,2,0.0625,20,True,,-0.0018594555148635644
REAL_CL-GENERIC_STAR,full_prednovel_ari,True,-0.00829459924035172,-0.022767376672711476,0.002463202173356106,0.25,5,1,4,0.0625,20,True,,-0.02114228863768709
REAL_CL-GENERIC_STAR,full_prednovel_nmi,True,-0.004507273096875747,-0.010467368632942604,0.00020127123226966058,0.1875,5,1,4,0.0625,20,True,,-0.006746903567189583
REAL_CL-GENERIC_STAR,lcc_yield,True,0.18556121776773954,0.037629399585921326,0.33581959815546775,0.25,5,3,0,0.0625,20,True,,
REAL_CL-GENERIC_STAR,assigned_cell_coverage,True,0.1515927794499779,0.015220711286231429,0.2905790193261731,0.25,5,3,0,0.0625,20,True,,
REAL_CL-GENERIC_STAR,lineage_U,True,,,,,0,,,,0,False,,
DEPTH_SHUFFLED_CL-GENERIC_STAR,joint_correct_known,False,-0.016655727742619243,-0.04903903188066535,0.004024648469542406,0.4375,5,2,3,0.0625,20,True,,-0.02251211282476697
DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_ap,False,-0.001051851632490919,-0.002189026239200785,-0.00020509202768539007,0.125,5,1,4,0.0625,20,True,,-0.0010646289348941118
DEPTH_SHUFFLED_CL-GENERIC_STAR,full_prednovel_ami,False,0.0010438595361628334,-0.007758134568342139,0.011712809763270389,1.0,5,1,4,0.0625,20,True,,0.001566045442833392
DEPTH_SHUFFLED_CL-GENERIC_STAR,known_retention,False,-0.016446038546956802,-0.049181044127716685,0.004476347853467817,0.5,5,3,2,0.0625,20,True,,-0.022084402722963997
DEPTH_SHUFFLED_CL-GENERIC_STAR,retained_known_accuracy,False,-0.00039215037397800635,-0.001318991981857491,0.00031653138196959804,0.5625,5,2,3,0.0625,20,True,,-0.00039483968269540435
DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_auroc,False,-0.002590358849044583,-0.005486373272034342,-0.0002861929501656579,0.1875,5,1,4,0.0625,20,True,,-0.0026571443163076096
DEPTH_SHUFFLED_CL-GENERIC_STAR,threshold_precision,False,-0.007181070695954789,-0.021044911925786405,0.0010827578995266855,0.5,5,3,2,0.0625,20,True,,-0.008107354141478939
DEPTH_SHUFFLED_CL-GENERIC_STAR,threshold_recall,False,-0.0023066130341508227,-0.005067842512102286,9.59910865317104e-05,0.375,5,2,3,0.0625,20,True,,-0.0023542827982870147
DEPTH_SHUFFLED_CL-GENERIC_STAR,threshold_f1,False,-0.005098425872391998,-0.013665738779762251,0.00015537963706061268,0.25,5,2,3,0.0625,20,True,,-0.005480628541944066
DEPTH_SHUFFLED_CL-GENERIC_STAR,full_prednovel_ari,False,0.001994595894274886,-0.016922459211996834,0.022443540578340474,1.0,5,1,4,0.0625,20,True,,0.005084069873702189
DEPTH_SHUFFLED_CL-GENERIC_STAR,full_prednovel_nmi,False,0.001072859743106172,-0.007717649022919712,0.011727182650028183,1.0,5,1,4,0.0625,20,True,,0.0016059557679951862
DEPTH_SHUFFLED_CL-GENERIC_STAR,lcc_yield,False,0.1351815330875433,0.022506393861892585,0.2860184629681913,0.125,5,4,0,0.0625,20,True,,
DEPTH_SHUFFLED_CL-GENERIC_STAR,assigned_cell_coverage,False,0.10887880243101111,0.010134072404918096,0.22355959369980064,0.125,5,4,0,0.0625,20,True,,
DEPTH_SHUFFLED_CL-GENERIC_STAR,lineage_U,False,,,,,0,,,,0,False,,
