dataset,contrast,endpoint,n_paired_seeds,effect,seed_sd,status
Cao,REAL_CL-DEPTH_SHUFFLED_CL,joint_correct_known,4,0.04353186704852888,0.04484617762201531,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,joint_correct_known,4,0.0013122034962874118,0.0021384220868719407,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,joint_correct_known,4,0.0006862092697307032,0.0018111218514557474,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,joint_correct_known,4,-0.017902804877547335,0.01737956988816984,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,joint_correct_known,4,0.039527147320274986,0.02743400312231291,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,novelty_ap,4,-0.00024996133192931036,0.00022515204598010105,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,novelty_ap,4,4.895724038475602e-05,2.5515409681340564e-05,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,novelty_ap,4,0.001430660838646819,0.00029064895971660123,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,novelty_ap,4,-0.0009634110623221448,0.00018071642891419115,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,novelty_ap,4,-4.9654049043279525e-06,2.0170317985952323e-05,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ami,4,-0.01942496106776631,0.011939128954991234,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ami,4,-0.0070649500551501765,0.008742047766011589,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ami,4,-0.0011184568919023474,0.0031310925265003375,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ami,4,0.007447131781603777,0.01010320341601634,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ami,4,-0.008016094473869528,0.023853930771516423,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,known_retention,4,0.04378106432646994,0.045094987733607775,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,known_retention,4,0.000984929868467349,0.0020539838203312995,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,known_retention,4,0.0011122887521022307,0.0018820539755724168,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,known_retention,4,-0.018345349403175337,0.017862234946655224,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,known_retention,4,0.040256369226412736,0.027497483961094922,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,retained_known_accuracy,4,-0.00016775926185907952,0.00031601950718118774,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,retained_known_accuracy,4,0.0003762906753819184,0.0001548155088384941,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,retained_known_accuracy,4,-0.0005372346342702727,0.0002808188092162422,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,retained_known_accuracy,4,0.00019736083787763592,0.0008097447644482889,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,retained_known_accuracy,4,-0.000874689924670019,0.0002484613888705183,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,novelty_auroc,4,-0.000540994651898552,0.0007645833486297277,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,novelty_auroc,4,8.212302020541018e-05,2.986837992894794e-05,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,novelty_auroc,4,0.003027431215919363,0.0005167939484949022,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,novelty_auroc,4,-0.0014968782526141033,0.00028770474292644645,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,novelty_auroc,4,1.841604625385518e-05,7.514024685243122e-06,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,threshold_precision,4,0.018256183471290294,0.018191039480987676,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,threshold_precision,4,0.0006733714181617612,0.0012923251434848668,FOUR_SEEDS_COMPLETE
